Entidad Federativa,Presencia,Ausencia,Total,Porcentaje
AGS,1183,200,1383,85.54
BC,833,92,925,90.05
BCS,990,106,1096,90.33
CAMP,816,153,969,84.21
CDMX,4755,175,4930,96.45
CHIH,825,111,936,88.14
CHIS,851,81,932,91.31
COAH,1241,158,1399,88.71
COL,1172,188,1360,86.18
DGO,1087,204,1291,84.2
GRO,1345,101,1446,93.02
GTO,921,88,1009,91.28
HGO,881,171,1052,83.75
JAL,892,71,963,92.63
MEX,1202,64,1266,94.94
MICH,839,76,915,91.69
MOR,1189,77,1266,93.92
NAY,914,59,973,93.94
NL,1232,127,1359,90.65
OAX,907,45,952,95.27
PUE,901,48,949,94.94
QR,860,63,923,93.17
QRO,821,252,1073,76.51
SIN,884,65,949,93.15
SLP,846,85,931,90.87
SON,1419,127,1546,91.79
TAB,865,49,914,94.64
TAM,1125,170,1295,86.87
TLAX,804,130,934,86.08
VER,836,33,869,96.2
YUC,715,209,924,77.38
ZAC,870,80,950,91.58
