Entidad Federativa,Agua,Drenaje,Recoleccion Basura,Policia,Calles y Avenidas,Luz,Calificacion General
AGS,7.0218,6.7837,8.0958,5.8013,6.4313,8.4066,70.9008
BC,7.7926,6.5436,7.2277,5.2064,4.6989,8.3936,66.438
BCS,6.9588,6.7151,8.2276,4.8853,5.0349,8.5941,67.3597
CAMP,7.0914,5.4538,8.0585,5.0554,5.4415,7.8388,64.899
CDMX,6.2825,5.9398,7.3589,4.1475,4.725,7.7003,60.2567
CHIH,7.1637,6.8743,8.1394,6.0581,5.9514,8.2883,70.792
CHIS,5.0422,4.9725,6.415,4.4456,4.3749,7.5058,54.5933
COAH,6.5556,5.7918,8.0837,5.1878,5.3207,8.3087,65.4138
COL,7.6664,7.4641,8.583,5.9833,6.116,8.7208,74.2227
DGO,6.7429,6.4912,7.9763,5.5386,5.7927,8.0643,67.6767
GRO,4.804,5.097,4.9182,4.0763,4.749,7.3549,51.6657
GTO,7.6749,6.8236,7.8975,5.397,6.4581,8.1813,70.7207
HGO,6.8621,6.5197,7.4887,5.4296,4.8415,8.0169,65.2642
JAL,7.534,6.7809,7.8652,5.0484,5.2788,7.9506,67.4298
MEX,5.9489,6.1503,6.6235,4.4183,4.6778,7.6019,59.0345
MICH,6.8709,6.7407,6.3084,4.0491,4.7983,8.6531,62.3675
MOR,6.7377,6.3279,7.3388,4.4356,4.5301,7.9766,62.2445
NAY,6.809,6.2155,8.1011,5.9642,5.6956,8.5495,68.8915
NL,8.533,7.2843,8.7854,6.0377,5.636,8.4627,74.5652
OAX,6.0915,6.3825,6.5094,5.3264,5.0385,8.0998,62.4135
PUE,6.3577,6.1464,7.4362,4.3515,4.977,8.3169,62.6428
QR,6.5161,5.4172,6.4581,4.2946,4.9366,7.7011,58.8728
QRO,7.6933,6.5674,7.8067,5.7275,5.9442,8.2491,69.9803
SIN,7.7557,6.7516,8.2443,5.6913,6.6227,8.4418,72.5123
SLP,6.2558,5.949,7.707,4.3365,4.4703,8.3694,61.8133
SON,7.0135,6.6467,7.944,5.0592,5.2671,8.0412,66.6195
TAB,4.9815,4.8652,7.5652,3.9598,4.5935,7.0435,55.0145
TAM,6.7815,5.8663,7.2116,5.0497,5.4576,8.0619,64.0477
TLAX,7.0209,6.8098,6.9613,5.3751,5.1442,8.1703,65.8027
VER,6.4146,5.6788,7.1185,4.5228,4.7813,7.9043,60.7005
YUC,7.7938,6.4081,7.5845,6.5707,6.7248,7.8023,71.4737
ZAC,5.4824,6.6705,7.4194,4.5899,5.2583,8.4101,63.051
